start
use_cuda: True
learning starting
epoch: 0, loss: 1.033, valid accuracy: 0.48087, train accuracy: 0.48386
epoch: 1, loss: 0.979, valid accuracy: 0.57279, train accuracy: 0.57054
epoch: 2, loss: 0.914, valid accuracy: 0.58010, train accuracy: 0.59891
epoch: 3, loss: 0.866, valid accuracy: 0.59242, train accuracy: 0.61825
epoch: 4, loss: 0.841, valid accuracy: 0.62015, train accuracy: 0.63088
epoch: 5, loss: 0.809, valid accuracy: 0.61450, train accuracy: 0.65322
epoch: 6, loss: 0.776, valid accuracy: 0.61933, train accuracy: 0.66734
epoch: 7, loss: 0.763, valid accuracy: 0.61060, train accuracy: 0.67372
epoch: 8, loss: 0.824, valid accuracy: 0.59924, train accuracy: 0.64774
epoch: 9, loss: 0.794, valid accuracy: 0.63019, train accuracy: 0.65370
epoch: 10, loss: 0.775, valid accuracy: 0.63419, train accuracy: 0.66587
epoch: 11, loss: 0.707, valid accuracy: 0.63774, train accuracy: 0.69431
epoch: 12, loss: 0.681, valid accuracy: 0.65020, train accuracy: 0.70419
epoch: 13, loss: 0.661, valid accuracy: 0.64499, train accuracy: 0.71517
epoch: 14, loss: 0.648, valid accuracy: 0.64800, train accuracy: 0.72301
epoch: 15, loss: 0.613, valid accuracy: 0.64964, train accuracy: 0.73916
epoch: 16, loss: 0.598, valid accuracy: 0.64368, train accuracy: 0.74834
epoch: 17, loss: 0.606, valid accuracy: 0.65080, train accuracy: 0.75106
epoch: 18, loss: 0.610, valid accuracy: 0.61752, train accuracy: 0.73404
epoch: 19, loss: 0.599, valid accuracy: 0.64881, train accuracy: 0.73913
epoch: 20, loss: 0.604, valid accuracy: 0.62277, train accuracy: 0.74184
epoch: 21, loss: 0.601, valid accuracy: 0.61771, train accuracy: 0.74170
epoch: 22, loss: 0.695, valid accuracy: 0.60859, train accuracy: 0.70829
epoch: 23, loss: 0.623, valid accuracy: 0.59701, train accuracy: 0.73053
epoch: 24, loss: 0.584, valid accuracy: 0.64451, train accuracy: 0.75118
epoch: 25, loss: 0.569, valid accuracy: 0.63615, train accuracy: 0.76027
epoch: 26, loss: 0.555, valid accuracy: 0.65171, train accuracy: 0.76528
epoch: 27, loss: 0.547, valid accuracy: 0.65379, train accuracy: 0.77039
epoch: 28, loss: 0.554, valid accuracy: 0.62979, train accuracy: 0.76849
epoch: 29, loss: 0.544, valid accuracy: 0.64027, train accuracy: 0.76613
epoch: 30, loss: 0.532, valid accuracy: 0.62704, train accuracy: 0.77145
epoch: 31, loss: 0.517, valid accuracy: 0.65409, train accuracy: 0.77902
epoch: 32, loss: 0.499, valid accuracy: 0.65194, train accuracy: 0.78533
epoch: 33, loss: 0.490, valid accuracy: 0.63984, train accuracy: 0.78841
epoch: 34, loss: 0.482, valid accuracy: 0.64468, train accuracy: 0.79188
epoch: 35, loss: 0.480, valid accuracy: 0.64197, train accuracy: 0.79127
epoch: 36, loss: 0.467, valid accuracy: 0.64271, train accuracy: 0.79704
epoch: 37, loss: 0.469, valid accuracy: 0.63854, train accuracy: 0.79753
epoch: 38, loss: 0.464, valid accuracy: 0.63935, train accuracy: 0.79994
epoch: 39, loss: 0.457, valid accuracy: 0.63810, train accuracy: 0.80164
epoch: 40, loss: 0.455, valid accuracy: 0.64256, train accuracy: 0.80216
epoch: 41, loss: 0.451, valid accuracy: 0.63243, train accuracy: 0.80400
epoch: 42, loss: 0.447, valid accuracy: 0.63443, train accuracy: 0.80457
epoch: 43, loss: 0.448, valid accuracy: 0.64174, train accuracy: 0.80439
epoch: 44, loss: 0.442, valid accuracy: 0.63804, train accuracy: 0.80781
epoch: 45, loss: 0.437, valid accuracy: 0.62663, train accuracy: 0.80879
epoch: 46, loss: 0.449, valid accuracy: 0.64218, train accuracy: 0.80634
epoch: 47, loss: 0.454, valid accuracy: 0.64089, train accuracy: 0.80014
epoch: 48, loss: 0.436, valid accuracy: 0.62897, train accuracy: 0.81080
epoch: 49, loss: 0.434, valid accuracy: 0.63644, train accuracy: 0.81140
epoch: 50, loss: 0.437, valid accuracy: 0.64353, train accuracy: 0.80756
epoch: 51, loss: 0.441, valid accuracy: 0.62185, train accuracy: 0.80714
epoch: 52, loss: 0.439, valid accuracy: 0.64425, train accuracy: 0.80783
epoch: 53, loss: 0.433, valid accuracy: 0.65041, train accuracy: 0.81083
epoch: 54, loss: 0.422, valid accuracy: 0.64543, train accuracy: 0.81497
epoch: 55, loss: 0.414, valid accuracy: 0.64818, train accuracy: 0.81918
epoch: 56, loss: 0.415, valid accuracy: 0.63279, train accuracy: 0.81746
epoch: 57, loss: 0.414, valid accuracy: 0.63976, train accuracy: 0.81813
epoch: 58, loss: 0.410, valid accuracy: 0.64120, train accuracy: 0.81915
epoch: 59, loss: 0.417, valid accuracy: 0.62759, train accuracy: 0.81607
epoch: 60, loss: 0.414, valid accuracy: 0.63228, train accuracy: 0.81843
epoch: 61, loss: 0.420, valid accuracy: 0.63092, train accuracy: 0.81326
epoch: 62, loss: 0.410, valid accuracy: 0.63846, train accuracy: 0.81917
epoch: 63, loss: 0.402, valid accuracy: 0.63717, train accuracy: 0.82190
epoch: 64, loss: 0.404, valid accuracy: 0.63222, train accuracy: 0.82090
epoch: 65, loss: 0.402, valid accuracy: 0.63710, train accuracy: 0.82163
epoch: 66, loss: 0.399, valid accuracy: 0.63420, train accuracy: 0.82298
epoch: 67, loss: 0.397, valid accuracy: 0.63600, train accuracy: 0.82393
epoch: 68, loss: 0.396, valid accuracy: 0.63232, train accuracy: 0.82371
epoch: 69, loss: 0.398, valid accuracy: 0.63590, train accuracy: 0.82272
epoch: 70, loss: 0.393, valid accuracy: 0.64187, train accuracy: 0.82617
epoch: 71, loss: 0.386, valid accuracy: 0.63755, train accuracy: 0.82823
epoch: 72, loss: 0.389, valid accuracy: 0.63473, train accuracy: 0.82770
epoch: 73, loss: 0.384, valid accuracy: 0.64239, train accuracy: 0.82927
epoch: 74, loss: 0.383, valid accuracy: 0.63574, train accuracy: 0.82942
epoch: 75, loss: 0.381, valid accuracy: 0.63683, train accuracy: 0.83023
epoch: 76, loss: 0.380, valid accuracy: 0.63941, train accuracy: 0.83123
epoch: 77, loss: 0.383, valid accuracy: 0.63919, train accuracy: 0.82888
epoch: 78, loss: 0.382, valid accuracy: 0.63297, train accuracy: 0.82984
epoch: 79, loss: 0.381, valid accuracy: 0.63959, train accuracy: 0.83020
epoch: 80, loss: 0.380, valid accuracy: 0.63491, train accuracy: 0.83027
epoch: 81, loss: 0.377, valid accuracy: 0.63908, train accuracy: 0.83239
